OTU_ID,SuperKingdom,Phylum,Class,Order,Family,Genus,Species
OTU1213,Eukaryota,,,,,,
OTU1214,Eukaryota,Rhodophyta,Florideophyceae,Batrachospermales,Psilosiphonaceae,Psilosiphon,Psilosiphon scoparius
OTU1215,Eukaryota,Arthropoda,,,,,
OTU1216,Eukaryota,,,,,,
OTU1217,Eukaryota,,,,,,
OTU1218,Eukaryota,,,,,,
OTU1219,Eukaryota,,,,,,
OTU122,Eukaryota,,,,,,
OTU1220,Eukaryota,,,,,,
OTU1221,Eukaryota,,,,,,
OTU1222,Eukaryota,,,,,,
OTU1223,Eukaryota,,Phaeophyceae,,,,
OTU1224,Eukaryota,,,,,,
OTU1225,Eukaryota,,,,,,
OTU1226,Eukaryota,,,,,,
OTU1227,Eukaryota,,,,,,
OTU1228,Eukaryota,,,,,,
OTU1229,Eukaryota,Rotifera,Eurotatoria,,,Rotaria,
OTU123,Eukaryota,Oomycota,,Myzocytiopsidales,Myzocytiopsidaceae,Chlamydomyzium,Chlamydomyzium_anomalum
OTU1230,Eukaryota,Discosea,Flabellinia,,Vannellidae,Ripella,
OTU1231,Eukaryota,,,,,,
OTU1232,Eukaryota,,,,,,
OTU1233,Eukaryota,,,,,,
OTU1234,Eukaryota,,,,,,
OTU1235,Eukaryota,,,,,,
OTU1236,Eukaryota,,,,,,
OTU1237,Eukaryota,,,,,,
OTU1238,Eukaryota,,,,,,
OTU1239,Eukaryota,,,,,,
OTU124,Eukaryota,Ascomycota,Eurotiomycetes,,,,
OTU1240,Eukaryota,,,,,,
OTU1241,Eukaryota,,,,,,
OTU1242,Eukaryota,,,,,,
OTU1243,Eukaryota,,,,,,
OTU1244,Eukaryota,,,,,,
OTU1245,Eukaryota,,,,,,
OTU1246,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Pythium,
OTU1247,Eukaryota,,,,,,
OTU1248,Eukaryota,,,,,,
OTU1249,Eukaryota,,,,,,
OTU125,Eukaryota,,,,,,
OTU1250,Eukaryota,,,,,,
OTU1251,Eukaryota,,,,,,
OTU1252,Eukaryota,,,,,,
OTU1253,Eukaryota,,,,,,
OTU1254,Eukaryota,,,,,,
OTU1255,Eukaryota,,,,,,
OTU1256,Eukaryota,,,,,,
OTU1257,Eukaryota,,,,,,
OTU1258,Eukaryota,,,,,,
OTU1259,Eukaryota,,,,,,
OTU126,Eukaryota,,,,,,
