OTU_ID,NCBI_SuperKingdom,NCBI_Phylum,NCBI_Class,NCBI_Order,NCBI_Family,NCBI_Genus,NCBI_Species,GBIFkingdom,GBIFphylum,GBIFclass,GBIForder,GBIFfamily,GBIFgenus,GBIFspecies,vernacularName
OTU2227,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2228,Eukaryota,Discosea,Himatismenida,NA,Cochliopodiidae,Ovalopodium,Ovalopodium rosalinum,Protozoa_Animalia,Amoebozoa,Discosea,Himatismenida,Cochliopodiidae,Ovalopodium,NA,Amoebas
OTU2229,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU223,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2230,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2231,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2232,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2233,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2234,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2235,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2236,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2237,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2238,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2239,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU224,Eukaryota,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus clarus,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus clarus,Fungi
OTU2240,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,Fungi
OTU2241,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2242,Eukaryota,Gastrotricha,NA,Chaetonotida,Chaetonotidae,Chaetonotus,NA,Animalia,Gastrotricha,NA,NA,Chaetonotidae,Chaetonotus,NA,Gastrotrichs
OTU2243,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2244,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,Fungi
OTU2245,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2246,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2247,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU2248,Eukaryota,Oomycota,NA,NA,NA,NA,NA,Chromista,Oomycota,NA,NA,NA,NA,NA,Oomycetes
