OTU_ID	NCBI_SuperKingdom	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	lowest_taxa_annotation	kingdom	phylum	class	order	family	genus	species	scientificName	taxonRank	verbatimIdentification
53	OTU1045	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
54	OTU1046	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
55	OTU1047	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
56	OTU1048	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
57	OTU1049	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
58	OTU105	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros		Chaetoceros	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros		Chaetoceros Ehrenberg	genus	NCBI_annotation|do:Eukaryota|p:Bacillariophyta|c:Coscinodiscophyceae|o:Chaetocerotales|f:Chaetocerotaceae|g:Chaetoceros|s:NA
59	OTU1050	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
60	OTU1051	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
61	OTU1052	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
62	OTU1053	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
63	OTU1054	Eukaryota	Oomycota						Oomycota	Chromista	Oomycota						Oomycota	phylum	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:NA|f:NA|g:NA|s:NA
64	OTU1055	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
65	OTU1056	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
66	OTU1057	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
67	OTU1058	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
68	OTU1059	Eukaryota	Chordata	Actinopteri	Cichliformes	Cichlidae	Oreochromis		Oreochromis	Animalia	Chordata		Perciformes	Cichlidae	Oreochromis		Oreochromis Günther, 1889	genus	NCBI_annotation|do:Eukaryota|p:Chordata|c:Actinopteri|o:Cichliformes|f:Cichlidae|g:Oreochromis|s:NA
69	OTU106	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium		Pythium	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium		Pythium Pringsheim, 1858	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Pythium|s:NA
70	OTU1060	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
71	OTU1061	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
72	OTU1062	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
73	OTU1063	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
74	OTU1064	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium		Pythium	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium		Pythium Pringsheim, 1858	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Pythium|s:NA
75	OTU1065	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium		Pythium	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium		Pythium Pringsheim, 1858	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Pythium|s:NA
76	OTU1066	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
77	OTU1067	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
78	OTU1068	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
79	OTU1069	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
80	OTU107	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
81	OTU1070	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
82	OTU1071	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
83	OTU1072	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
85	OTU1074	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
86	OTU1075	Eukaryota	Oomycota		Saprolegniales	Saprolegniaceae			Saprolegniaceae	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae			Saprolegniaceae	family	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Saprolegniales|f:Saprolegniaceae|g:NA|s:NA
87	OTU1076	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
88	OTU1077	Eukaryota		Phaeophyceae					Phaeophyceae	Chromista	Ochrophyta	Phaeophyceae					Phaeophyceae	class	NCBI_annotation|do:Eukaryota|p:NA|c:Phaeophyceae|o:NA|f:NA|g:NA|s:NA
89	OTU1078	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
90	OTU1079	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
91	OTU108	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
92	OTU1080	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
93	OTU1081	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia palea	Nitzschia palea	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia palea	Nitzschia palea (Kützing) W.Smith, 1856	species	NCBI_annotation|do:Eukaryota|p:Bacillariophyta|c:Bacillariophyceae|o:Bacillariales|f:Bacillariaceae|g:Nitzschia|s:Nitzschia palea
94	OTU1082	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
95	OTU1083	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
96	OTU1084	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
97	OTU1085	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
98	OTU1086	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
99	OTU1087	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
100	OTU1088	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
101	OTU1089	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
102	OTU109	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
103	OTU1090	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
104	OTU1091	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
105	OTU1092	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
106	OTU1093	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
107	OTU1094	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
108	OTU1095	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
109	OTU1096	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
110	OTU1097	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
